Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Product_ID,Sub_Category,Product_Name,Postal_Code,Segment,City,State,Region,Category,Sales
13,CA-2018-114412,2018-04-15,2018-04-20,"Standard Class",AA-10480,"Andrew Allen",OFF-PA-10002365,Paper,"Xerox 1967",28027,Consumer,Concord,"North Carolina",South,"Office Supplies",15.552
14,CA-2017-161389,2017-12-05,2017-12-10,"Standard Class",IM-15070,"Irene Maddox",OFF-BI-10003656,Binders,"Fellowes PB200 Plastic Comb Binding Machine",98103,Consumer,Seattle,Washington,West,"Office Supplies",407.976
15,US-2016-118983,2016-11-22,2016-11-26,"Standard Class",HP-14815,"Harold Pawlan",OFF-AP-10002311,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",76106,"Home Office","Fort Worth",Texas,Central,"Office Supplies",68.81
16,US-2016-118983,2016-11-22,2016-11-26,"Standard Class",HP-14815,"Harold Pawlan",OFF-BI-10000756,Binders,"Storex DuraTech Recycled Plastic Frosted Binders",76106,"Home Office","Fort Worth",Texas,Central,"Office Supplies",2.544
17,CA-2015-105893,2015-11-11,2015-11-18,"Standard Class",PK-19075,"Pete Kriz",OFF-ST-10004186,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",53711,Consumer,Madison,Wisconsin,Central,"Office Supplies",665.88
18,CA-2015-167164,2015-05-13,2015-05-15,"Second Class",AG-10270,"Alejandro Grove",OFF-ST-10000107,Storage,"Fellowes Super Stor/Drawer",84084,Consumer,"West Jordan",Utah,West,"Office Supplies",55.5
19,CA-2015-143336,2015-08-27,2015-09-01,"Second Class",ZD-21925,"Zuschuss Donatelli",OFF-AR-10003056,Art,"Newell 341",94109,Consumer,"San Francisco",California,West,"Office Supplies",8.56
20,CA-2015-143336,2015-08-27,2015-09-01,"Second Class",ZD-21925,"Zuschuss Donatelli",TEC-PH-10001949,Phones,"Cisco SPA 501G IP Phone",94109,Consumer,"San Francisco",California,West,Technology,213.48
21,CA-2015-143336,2015-08-27,2015-09-01,"Second Class",ZD-21925,"Zuschuss Donatelli",OFF-BI-10002215,Binders,"Wilson Jones Hanging View Binder, White, 1""",94109,Consumer,"San Francisco",California,West,"Office Supplies",22.72
22,CA-2017-137330,2017-12-09,2017-12-13,"Standard Class",KB-16585,"Ken Black",OFF-AR-10000246,Art,"Newell 318",68025,Corporate,Fremont,Nebraska,Central,"Office Supplies",19.46
23,CA-2017-137330,2017-12-09,2017-12-13,"Standard Class",KB-16585,"Ken Black",OFF-AP-10001492,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",68025,Corporate,Fremont,Nebraska,Central,"Office Supplies",60.34
24,US-2018-156909,2018-07-16,2018-07-18,"Second Class",SF-20065,"Sandra Flanagan",FUR-CH-10002774,Chairs,"Global Deluxe Stacking Chair, Gray",19140,Consumer,Philadelphia,Pennsylvania,East,Furniture,71.372
25,CA-2016-106320,2016-09-25,2016-09-30,"Standard Class",EB-13870,"Emily Burns",FUR-TA-10000577,Tables,"Bretford CR4500 Series Slim Rectangular Table",84057,Consumer,Orem,Utah,West,Furniture,1044.63
26,CA-2017-121755,2017-01-16,2017-01-20,"Second Class",EH-13945,"Eric Hoffmann",OFF-BI-10001634,Binders,"Wilson Jones Active Use Binders",90049,Consumer,"Los Angeles",California,West,"Office Supplies",11.648
27,CA-2017-121755,2017-01-16,2017-01-20,"Second Class",EH-13945,"Eric Hoffmann",TEC-AC-10003027,Accessories,"Imation 8GB Mini TravelDrive USB 2.0 Flash Drive",90049,Consumer,"Los Angeles",California,West,Technology,90.57
28,US-2016-150630,2016-09-17,2016-09-21,"Standard Class",TB-21520,"Tracy Blumstein",FUR-BO-10004834,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",19140,Consumer,Philadelphia,Pennsylvania,East,Furniture,3083.43
29,US-2016-150630,2016-09-17,2016-09-21,"Standard Class",TB-21520,"Tracy Blumstein",OFF-BI-10000474,Binders,"Avery Recycled Flexi-View Covers for Binding Systems",19140,Consumer,Philadelphia,Pennsylvania,East,"Office Supplies",9.618
30,US-2016-150630,2016-09-17,2016-09-21,"Standard Class",TB-21520,"Tracy Blumstein",FUR-FU-10004848,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",19140,Consumer,Philadelphia,Pennsylvania,East,Furniture,124.2
31,US-2016-150630,2016-09-17,2016-09-21,"Standard Class",TB-21520,"Tracy Blumstein",OFF-EN-10001509,Envelopes,"Poly String Tie Envelopes",19140,Consumer,Philadelphia,Pennsylvania,East,"Office Supplies",3.264
32,US-2016-150630,2016-09-17,2016-09-21,"Standard Class",TB-21520,"Tracy Blumstein",OFF-AR-10004042,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",19140,Consumer,Philadelphia,Pennsylvania,East,"Office Supplies",86.304
33,US-2016-150630,2016-09-17,2016-09-21,"Standard Class",TB-21520,"Tracy Blumstein",OFF-BI-10001525,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",19140,Consumer,Philadelphia,Pennsylvania,East,"Office Supplies",6.858
34,US-2016-150630,2016-09-17,2016-09-21,"Standard Class",TB-21520,"Tracy Blumstein",OFF-AR-10001683,Art,"Lumber Crayons",19140,Consumer,Philadelphia,Pennsylvania,East,"Office Supplies",15.76
35,CA-2018-107727,2018-10-19,2018-10-23,"Second Class",MA-17560,"Matt Abelman",OFF-PA-10000249,Paper,"Easy-staple paper",77095,"Home Office",Houston,Texas,Central,"Office Supplies",29.472
36,CA-2017-117590,2017-12-08,2017-12-10,"First Class",GH-14485,"Gene Hale",TEC-PH-10004977,Phones,"GE 30524EE4",75080,Corporate,Richardson,Texas,Central,Technology,1097.544
37,CA-2017-117590,2017-12-08,2017-12-10,"First Class",GH-14485,"Gene Hale",FUR-FU-10003664,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",75080,Corporate,Richardson,Texas,Central,Furniture,190.92
38,CA-2016-117415,2016-12-27,2016-12-31,"Standard Class",SN-20710,"Steve Nguyen",OFF-EN-10002986,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",77041,"Home Office",Houston,Texas,Central,"Office Supplies",113.328
39,CA-2016-117415,2016-12-27,2016-12-31,"Standard Class",SN-20710,"Steve Nguyen",FUR-BO-10002545,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",77041,"Home Office",Houston,Texas,Central,Furniture,532.3992
40,CA-2016-117415,2016-12-27,2016-12-31,"Standard Class",SN-20710,"Steve Nguyen",FUR-CH-10004218,Chairs,"Global Fabric Manager's Chair, Dark Gray",77041,"Home Office",Houston,Texas,Central,Furniture,212.058
41,CA-2016-117415,2016-12-27,2016-12-31,"Standard Class",SN-20710,"Steve Nguyen",TEC-PH-10000486,Phones,"Plantronics HL10 Handset Lifter",77041,"Home Office",Houston,Texas,Central,Technology,371.168
42,CA-2018-120999,2018-09-10,2018-09-15,"Standard Class",LC-16930,"Linda Cazamias",TEC-PH-10004093,Phones,"Panasonic Kx-TS550",60540,Corporate,Naperville,Illinois,Central,Technology,147.168
43,CA-2017-101343,2017-07-17,2017-07-22,"Standard Class",RA-19885,"Ruben Ausman",OFF-ST-10003479,Storage,"Eldon Base for stackable storage shelf, platinum",90049,Corporate,"Los Angeles",California,West,"Office Supplies",77.88
44,CA-2018-139619,2018-09-19,2018-09-23,"Standard Class",ES-14080,"Erin Smith",OFF-ST-10003282,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",32935,Corporate,Melbourne,Florida,South,"Office Supplies",95.616
45,CA-2017-118255,2017-03-11,2017-03-13,"First Class",ON-18715,"Odella Nelson",TEC-AC-10000171,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",55122,Corporate,Eagan,Minnesota,Central,Technology,45.98
46,CA-2017-118255,2017-03-11,2017-03-13,"First Class",ON-18715,"Odella Nelson",OFF-BI-10003291,Binders,"Wilson Jones Leather-Like Binders with DublLock Round Rings",55122,Corporate,Eagan,Minnesota,Central,"Office Supplies",17.46
47,CA-2015-146703,2015-10-20,2015-10-25,"Second Class",PO-18865,"Patrick O'Donnell",OFF-ST-10001713,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",48185,Consumer,Westland,Michigan,Central,"Office Supplies",211.96
48,CA-2017-169194,2017-06-20,2017-06-25,"Standard Class",LH-16900,"Lena Hernandez",TEC-AC-10002167,Accessories,"Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive",19901,Consumer,Dover,Delaware,East,Technology,45
49,CA-2017-169194,2017-06-20,2017-06-25,"Standard Class",LH-16900,"Lena Hernandez",TEC-PH-10003988,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",19901,Consumer,Dover,Delaware,East,Technology,21.8
50,CA-2016-115742,2016-04-18,2016-04-22,"Standard Class",DP-13000,"Darren Powers",OFF-BI-10004410,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",47150,Consumer,"New Albany",Indiana,Central,"Office Supplies",38.22
51,CA-2016-115742,2016-04-18,2016-04-22,"Standard Class",DP-13000,"Darren Powers",OFF-LA-10002762,Labels,"Avery 485",47150,Consumer,"New Albany",Indiana,Central,"Office Supplies",75.18
52,CA-2016-115742,2016-04-18,2016-04-22,"Standard Class",DP-13000,"Darren Powers",FUR-FU-10001706,Furnishings,"Longer-Life Soft White Bulbs",47150,Consumer,"New Albany",Indiana,Central,Furniture,6.16
53,CA-2016-115742,2016-04-18,2016-04-22,"Standard Class",DP-13000,"Darren Powers",FUR-CH-10003061,Chairs,"Global Leather Task Chair, Black",47150,Consumer,"New Albany",Indiana,Central,Furniture,89.99
54,CA-2017-105816,2017-12-11,2017-12-17,"Standard Class",JM-15265,"Janet Molinari",OFF-FA-10000304,Fasteners,"Advantus Push Pins",10024,Corporate,"New York City","New York",East,"Office Supplies",15.26
55,CA-2017-105816,2017-12-11,2017-12-17,"Standard Class",JM-15265,"Janet Molinari",TEC-PH-10002447,Phones,"AT&T CL83451 4-Handset Telephone",10024,Corporate,"New York City","New York",East,Technology,1029.95
56,CA-2017-111682,2017-06-17,2017-06-18,"First Class",TB-21055,"Ted Butterfield",OFF-ST-10000604,Storage,"Home/Office Personal File Carts",12180,Consumer,Troy,"New York",East,"Office Supplies",208.56
57,CA-2017-111682,2017-06-17,2017-06-18,"First Class",TB-21055,"Ted Butterfield",OFF-PA-10001569,Paper,"Xerox 232",12180,Consumer,Troy,"New York",East,"Office Supplies",32.4
58,CA-2017-111682,2017-06-17,2017-06-18,"First Class",TB-21055,"Ted Butterfield",FUR-CH-10003968,Chairs,"Novimex Turbo Task Chair",12180,Consumer,Troy,"New York",East,Furniture,319.41
59,CA-2017-111682,2017-06-17,2017-06-18,"First Class",TB-21055,"Ted Butterfield",OFF-PA-10000587,Paper,"Array Parchment Paper, Assorted Colors",12180,Consumer,Troy,"New York",East,"Office Supplies",14.56
60,CA-2017-111682,2017-06-17,2017-06-18,"First Class",TB-21055,"Ted Butterfield",TEC-AC-10002167,Accessories,"Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive",12180,Consumer,Troy,"New York",East,Technology,30
61,CA-2017-111682,2017-06-17,2017-06-18,"First Class",TB-21055,"Ted Butterfield",OFF-BI-10001460,Binders,"Plastic Binding Combs",12180,Consumer,Troy,"New York",East,"Office Supplies",48.48
62,CA-2017-111682,2017-06-17,2017-06-18,"First Class",TB-21055,"Ted Butterfield",OFF-AR-10001868,Art,"Prang Dustless Chalk Sticks",12180,Consumer,Troy,"New York",East,"Office Supplies",1.68
63,CA-2016-135545,2016-11-24,2016-11-30,"Standard Class",KM-16720,"Kunst Miller",TEC-AC-10004633,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",90004,Consumer,"Los Angeles",California,West,Technology,13.98
64,CA-2016-135545,2016-11-24,2016-11-30,"Standard Class",KM-16720,"Kunst Miller",OFF-BI-10001078,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",90004,Consumer,"Los Angeles",California,West,"Office Supplies",25.824
65,CA-2016-135545,2016-11-24,2016-11-30,"Standard Class",KM-16720,"Kunst Miller",OFF-PA-10003892,Paper,"Xerox 1943",90004,Consumer,"Los Angeles",California,West,"Office Supplies",146.73
66,CA-2016-135545,2016-11-24,2016-11-30,"Standard Class",KM-16720,"Kunst Miller",FUR-FU-10000397,Furnishings,"Luxo Economy Swing Arm Lamp",90004,Consumer,"Los Angeles",California,West,Furniture,79.76
67,US-2016-164175,2016-04-30,2016-05-05,"Standard Class",PS-18970,"Paul Stevenson",FUR-CH-10001146,Chairs,"Global Value Mid-Back Manager's Chair, Gray",60610,"Home Office",Chicago,Illinois,Central,Furniture,213.115
68,CA-2015-106376,2015-12-05,2015-12-10,"Standard Class",BS-11590,"Brendan Sweed",OFF-AR-10002671,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",85234,Corporate,Gilbert,Arizona,West,"Office Supplies",1113.024
69,CA-2015-106376,2015-12-05,2015-12-10,"Standard Class",BS-11590,"Brendan Sweed",TEC-PH-10002726,Phones,"netTALK DUO VoIP Telephone Service",85234,Corporate,Gilbert,Arizona,West,Technology,167.968
70,CA-2017-119823,2017-06-04,2017-06-06,"First Class",KD-16270,"Karen Daniels",OFF-PA-10000482,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",22153,Consumer,Springfield,Virginia,South,"Office Supplies",75.88
71,CA-2017-106075,2017-09-18,2017-09-23,"Standard Class",HM-14980,"Henry MacAllister",OFF-BI-10004654,Binders,"Avery Binding System Hidden Tab Executive Style Index Sets",10009,Consumer,"New York City","New York",East,"Office Supplies",4.616
72,CA-2018-114440,2018-09-14,2018-09-17,"Second Class",TB-21520,"Tracy Blumstein",OFF-PA-10004675,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",49201,Consumer,Jackson,Michigan,Central,"Office Supplies",19.05
73,US-2016-134026,2016-04-26,2016-05-02,"Standard Class",JE-15745,"Joel Eaton",FUR-CH-10000513,Chairs,"High-Back Leather Manager's Chair",38109,Consumer,Memphis,Tennessee,South,Furniture,831.936
74,US-2016-134026,2016-04-26,2016-05-02,"Standard Class",JE-15745,"Joel Eaton",FUR-FU-10003708,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",38109,Consumer,Memphis,Tennessee,South,Furniture,97.04
75,US-2016-134026,2016-04-26,2016-05-02,"Standard Class",JE-15745,"Joel Eaton",OFF-ST-10004123,Storage,"Safco Industrial Wire Shelving System",38109,Consumer,Memphis,Tennessee,South,"Office Supplies",72.784
76,US-2018-118038,2018-12-09,2018-12-11,"First Class",KB-16600,"Ken Brennan",OFF-BI-10004182,Binders,"Economy Binders",77041,Corporate,Houston,Texas,Central,"Office Supplies",1.248
77,US-2018-118038,2018-12-09,2018-12-11,"First Class",KB-16600,"Ken Brennan",FUR-FU-10000260,Furnishings,"6"" Cubicle Wall Clock, Black",77041,Corporate,Houston,Texas,Central,Furniture,9.708
78,US-2018-118038,2018-12-09,2018-12-11,"First Class",KB-16600,"Ken Brennan",OFF-ST-10000615,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",77041,Corporate,Houston,Texas,Central,"Office Supplies",27.24
79,US-2015-147606,2015-11-26,2015-12-01,"Second Class",JE-15745,"Joel Eaton",FUR-FU-10003194,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",77070,Consumer,Houston,Texas,Central,Furniture,19.3
80,CA-2017-127208,2017-06-12,2017-06-15,"First Class",SC-20770,"Stewart Carmichael",OFF-AP-10002118,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",35601,Corporate,Decatur,Alabama,South,"Office Supplies",208.16
81,CA-2017-127208,2017-06-12,2017-06-15,"First Class",SC-20770,"Stewart Carmichael",OFF-BI-10002309,Binders,"Avery Heavy-Duty EZD  Binder With Locking Rings",35601,Corporate,Decatur,Alabama,South,"Office Supplies",16.74
82,CA-2015-139451,2015-10-12,2015-10-16,"Standard Class",DN-13690,"Duane Noonan",OFF-AR-10002053,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",94122,Consumer,"San Francisco",California,West,"Office Supplies",14.9
83,CA-2015-139451,2015-10-12,2015-10-16,"Standard Class",DN-13690,"Duane Noonan",OFF-ST-10002370,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",94122,Consumer,"San Francisco",California,West,"Office Supplies",21.39
84,CA-2016-149734,2016-09-03,2016-09-08,"Standard Class",JC-16105,"Julie Creighton",OFF-EN-10000927,Envelopes,"Jet-Pak Recycled Peel 'N' Seal Padded Mailers",27707,Corporate,Durham,"North Carolina",South,"Office Supplies",200.984
85,US-2018-119662,2018-11-13,2018-11-16,"First Class",CS-12400,"Christopher Schild",OFF-ST-10003656,Storage,"Safco Industrial Wire Shelving",60623,"Home Office",Chicago,Illinois,Central,"Office Supplies",230.376
86,CA-2018-140088,2018-05-28,2018-05-30,"Second Class",PO-18865,"Patrick O'Donnell",FUR-CH-10000863,Chairs,"Novimex Swivel Fabric Task Chair",29203,Consumer,Columbia,"South Carolina",South,Furniture,301.96
87,CA-2018-155558,2018-10-26,2018-11-02,"Standard Class",PG-18895,"Paul Gonzalez",TEC-AC-10001998,Accessories,"Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired",55901,Consumer,Rochester,Minnesota,Central,Technology,19.99
88,CA-2018-155558,2018-10-26,2018-11-02,"Standard Class",PG-18895,"Paul Gonzalez",OFF-LA-10000134,Labels,"Avery 511",55901,Consumer,Rochester,Minnesota,Central,"Office Supplies",6.16
89,CA-2017-159695,2017-04-05,2017-04-10,"Second Class",GM-14455,"Gary Mitchum",OFF-ST-10003442,Storage,"Eldon Portable Mobile Manager",77095,"Home Office",Houston,Texas,Central,"Office Supplies",158.368
90,CA-2017-109806,2017-09-17,2017-09-22,"Standard Class",JS-15685,"Jim Sink",OFF-AR-10004930,Art,"Turquoise Lead Holder with Pocket Clip",90036,Corporate,"Los Angeles",California,West,"Office Supplies",20.1
91,CA-2017-109806,2017-09-17,2017-09-22,"Standard Class",JS-15685,"Jim Sink",TEC-PH-10004093,Phones,"Panasonic Kx-TS550",90036,Corporate,"Los Angeles",California,West,Technology,73.584
92,CA-2017-109806,2017-09-17,2017-09-22,"Standard Class",JS-15685,"Jim Sink",OFF-PA-10000304,Paper,"Xerox 1995",90036,Corporate,"Los Angeles",California,West,"Office Supplies",6.48
93,CA-2016-149587,2016-01-31,2016-02-05,"Second Class",KB-16315,"Karl Braun",OFF-PA-10003177,Paper,"Xerox 1999",55407,Consumer,Minneapolis,Minnesota,Central,"Office Supplies",12.96
94,CA-2016-149587,2016-01-31,2016-02-05,"Second Class",KB-16315,"Karl Braun",FUR-FU-10003799,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",55407,Consumer,Minneapolis,Minnesota,Central,Furniture,53.34
95,CA-2016-149587,2016-01-31,2016-02-05,"Second Class",KB-16315,"Karl Braun",OFF-BI-10002852,Binders,"Ibico Standard Transparent Covers",55407,Consumer,Minneapolis,Minnesota,Central,"Office Supplies",32.96
96,US-2018-109484,2018-11-06,2018-11-12,"Standard Class",RB-19705,"Roger Barcio",OFF-BI-10004738,Binders,"Flexible Leather- Look Classic Collection Ring Binder",97206,"Home Office",Portland,Oregon,West,"Office Supplies",5.682
97,CA-2018-161018,2018-11-09,2018-11-11,"Second Class",PN-18775,"Parhena Norris",FUR-FU-10000629,Furnishings,"9-3/4 Diameter Round Wall Clock",10009,"Home Office","New York City","New York",East,Furniture,96.53
98,CA-2018-157833,2018-06-17,2018-06-20,"First Class",KD-16345,"Katherine Ducich",OFF-BI-10001721,Binders,"Trimflex Flexible Post Binders",94122,Consumer,"San Francisco",California,West,"Office Supplies",51.312
99,CA-2017-149223,2017-09-06,2017-09-11,"Standard Class",ER-13855,"Elpida Rittenbach",OFF-AP-10000358,Appliances,"Fellowes Basic Home/Office Series Surge Protectors",55106,Corporate,"Saint Paul",Minnesota,Central,"Office Supplies",77.88
100,CA-2017-158568,2017-08-29,2017-09-02,"Standard Class",RB-19465,"Rick Bensley",OFF-PA-10003256,Paper,"Avery Personal Creations Heavyweight Cards",60610,"Home Office",Chicago,Illinois,Central,"Office Supplies",64.624
101,CA-2017-158568,2017-08-29,2017-09-02,"Standard Class",RB-19465,"Rick Bensley",TEC-AC-10001767,Accessories,"SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card",60610,"Home Office",Chicago,Illinois,Central,Technology,95.976
102,CA-2017-158568,2017-08-29,2017-09-02,"Standard Class",RB-19465,"Rick Bensley",OFF-BI-10002609,Binders,"Avery Hidden Tab Dividers for Binding Systems",60610,"Home Office",Chicago,Illinois,Central,"Office Supplies",1.788
103,CA-2017-129903,2017-12-01,2017-12-04,"Second Class",GZ-14470,"Gary Zandusky",OFF-PA-10004040,Paper,"Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)",55901,Consumer,Rochester,Minnesota,Central,"Office Supplies",23.92
104,US-2016-156867,2016-11-13,2016-11-17,"Standard Class",LC-16870,"Lena Cacioppo",TEC-AC-10001552,Accessories,"Logitech K350 2.4Ghz Wireless Keyboard",80013,Consumer,Aurora,Colorado,West,Technology,238.896
105,US-2016-156867,2016-11-13,2016-11-17,"Standard Class",LC-16870,"Lena Cacioppo",FUR-FU-10004006,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",80013,Consumer,Aurora,Colorado,West,Furniture,102.36
106,US-2016-156867,2016-11-13,2016-11-17,"Standard Class",LC-16870,"Lena Cacioppo",OFF-BI-10002794,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",80013,Consumer,Aurora,Colorado,West,"Office Supplies",36.882
107,CA-2018-119004,2018-11-23,2018-11-28,"Standard Class",JM-15250,"Janet Martin",TEC-AC-10003499,Accessories,"Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive",28205,Consumer,Charlotte,"North Carolina",South,Technology,74.112
108,CA-2018-119004,2018-11-23,2018-11-28,"Standard Class",JM-15250,"Janet Martin",TEC-PH-10002844,Phones,"Speck Products Candyshell Flip Case",28205,Consumer,Charlotte,"North Carolina",South,Technology,27.992
109,CA-2018-119004,2018-11-23,2018-11-28,"Standard Class",JM-15250,"Janet Martin",OFF-AR-10000390,Art,"Newell Chalk Holder",28205,Consumer,Charlotte,"North Carolina",South,"Office Supplies",3.304
110,CA-2016-129476,2016-10-15,2016-10-20,"Standard Class",PA-19060,"Pete Armstrong",TEC-AC-10000844,Accessories,"Logitech Gaming G510s - Keyboard",60462,"Home Office","Orland Park",Illinois,Central,Technology,339.96
111,CA-2018-146780,2018-12-25,2018-12-30,"Standard Class",CV-12805,"Cynthia Voltz",FUR-FU-10001934,Furnishings,"Magnifier Swing Arm Lamp",10035,Corporate,"New York City","New York",East,Furniture,41.96
112,CA-2017-128867,2017-11-03,2017-11-10,"Standard Class",CL-12565,"Clay Ludtke",OFF-AR-10000380,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",50322,Consumer,Urbandale,Iowa,Central,"Office Supplies",75.96
113,CA-2017-128867,2017-11-03,2017-11-10,"Standard Class",CL-12565,"Clay Ludtke",OFF-BI-10003981,Binders,"Avery Durable Plastic 1"" Binders",50322,Consumer,Urbandale,Iowa,Central,"Office Supplies",27.24
114,CA-2015-115259,2015-08-25,2015-08-27,"Second Class",RC-19960,"Ryan Crowe",OFF-FA-10000621,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",43229,Consumer,Columbus,Ohio,East,"Office Supplies",40.096
115,CA-2015-115259,2015-08-25,2015-08-27,"Second Class",RC-19960,"Ryan Crowe",OFF-EN-10002600,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",43229,Consumer,Columbus,Ohio,East,"Office Supplies",4.72
116,CA-2015-115259,2015-08-25,2015-08-27,"Second Class",RC-19960,"Ryan Crowe",OFF-PA-10004965,Paper,"Xerox 1921",43229,Consumer,Columbus,Ohio,East,"Office Supplies",23.976
117,CA-2015-115259,2015-08-25,2015-08-27,"Second Class",RC-19960,"Ryan Crowe",OFF-EN-10002504,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",43229,Consumer,Columbus,Ohio,East,"Office Supplies",130.464
